NCT Number,Study Title,Conditions
NCT06156982,An Observational Study to Describe EVUSHELD™ (Tixagevimab/Cilgavimab) Pre-exposure Prophylaxis in Real-world Setting in Japan,COVID-19
NCT04425382,Darunavir/Cobicistat vs. Lopinavir/Ritonavir in COVID-19 Pneumonia in Qatar,Coronavirus|COVID|Pneumonia
NCT05075031,"Could Docosahexaenoic Acid (DHA), Contained in Breast Milk and Artificial Baby Milks, Protect Infants and Children From COVID-19 and Make Them Less Prone to COVID-19-related Severe Illness Than Adults?",COVID19
NCT04919031,Inspiratory Muscle Trainer and Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) COVID-19 Persistent Symptoms,Covid19|Hypertension|Corona Persistent Symptoms
NCT04366882,Minimal Invasive Autopsies to Investigate Changes in Deceased COVID-19 Patients,COVID-19
NCT04347876,Outcome of COVID-19 Cases Based on Tuberculin Test: Can Previous BCG Alter the Prognosis?,COVID-19|BCG Vaccination
NCT04420260,Primary Prevention of Infection by COVID-19 in Workers,COVID
NCT06065176,The Efficacy of the 2023-2024 Updated COVID-19 Vaccines Against COVID-19 Infection,COVID-19|Vaccine-Preventable Diseases|SARS CoV 2 Infection|Upper Respiratory Tract Infection|Upper Respiratory Disease
NCT04436276,A Study of Ad26.COV2.S in Adults (COVID-19),Covid-19 Prevention
NCT04549376,Virucidal Effect of Povidone Iodine on COVID-19 In-Vivo,COVID19
NCT04952376,Equitable Access to COVID-19 Vaccines,Covid19
NCT04969276,Study of a Quadrivalent High-Dose Influenza Vaccine and a Moderna COVID-19 Vaccine Administered Either Concomitantly or Singly in Participants 65 Years of Age and Older Previously Vaccinated With a 2-dose Schedule of Moderna COVID-19 Vaccine,Influenza Immunization|Healthy Volunteers
NCT04380727,Almitrine and COVID-19 Related Hypoxemia,COVID-19|Hypoxic Respiratory Failure
NCT05305573,Assessing the Immunogenicity and Safety of a HIPRA's Candidate Booster Vaccination in Adults Fully Vaccinated With Adenovirus Vaccine Against COVID-19.,COVID-19|SARS-CoV-2 Acute Respiratory Disease
NCT05235373,Prognostic Significance of COVID-19 MSCT Chest Findings on Short Term Disease Progression,COVID-19|Infection Viral
NCT04470427,"A Study to Evaluate Efficacy, Safety, and Immunogenicity of mRNA-1273 Vaccine in Adults Aged 18 Years and Older to Prevent COVID-19",SARS-CoV-2
NCT04483973,SPI-1005 Treatment in Severe COVID-19 Patients,Covid19|Coronavirus|Coronavirus Infection|Corona Virus Infection
NCT05084976,Parental Perception of COVID-19 Vaccine in Technology Dependent Patients,Chronic Respiratory Failure|Tracheostomy Complication|Mechanical Ventilation Complication
NCT04411576,Current and Past SARS-CoV-2 Infection and COVID-19 in Healthcare,SARS-CoV 2
NCT04708327,Single-Blind Study of STAT-205 in Mild COVID-19,COVID-19
NCT04812327,Capturing Infectious COVID-19 Asymptomatic Cases in Singapore,Covid19|SARS CoV-2
NCT05276427,Impact of External Factors(Brexit and Covid-19) on Retention and Turnover in the NHS,Impact of BREXIT & COVID 19 on Retention and Turnover on NHS
NCT04697927,A Study of Risk Factors for the COVID-19 Virus Infection,COVID-19 Infections in Cancer Patients
NCT06840873,Tele-Rehabilitative Exercise Training Program in Nurses With Long COVID,Cardiorespiratory Fitness|Exercise|Long COVID|Nurses|Quality of Life (QOL)|Fatigue|Stress|Tele-rehabilitation
NCT05552573,Safety and Immunogenicity of COVID-19 Vaccine in Population Aged 18 Years and Above,COVID-19
NCT05506176,A Clinical Study to Evaluate the Efficacy and Safety of SIM0417 Orally Co-Administered With Ritonavir in Symptomatic Adult Participants With Mild to Moderate COVID-19,COVID-19
NCT05584176,COVID-19 MP Biomedicals SARS-CoV-2 Ag OTC: Clinical Evaluation,SARS-CoV2 Infection|COVID-19
NCT04391127,Hydroxychloroquine and Ivermectin for the Treatment of COVID-19 Infection,COVID-19
NCT05079373,Study of Neurological Damage From Coronavirus Disease (COVID-19),COVID-19
NCT05806827,INVESTIGATE THE ASSOCIATION BETWEEN VIRAL NEUROTOXIC INFECTION AND POSTOPERATIVE DELIRIUM AND POSTOPERATIVE COGNITIVE DECLINE,POSTOPERATIVE DELIRIUM AND POSTOPERATIVE COGNITIVE DECLINE
NCT04402827,Different Susceptibility to SARS CoV-2 Infection Among Health Care Workers Highly Exposed to COVID-19.,"Health Care Worker Patient Transmission|Receptor Site Alteration|Susceptibility, Disease|Immune Response"
NCT05531773,Post COVID-19 Condition,COVID-19
NCT04852276,COVID-19 Vaccination and Outcomes in Individuals With and Without Immune Deficiencies and Dysregulations,Immunodeficiencies|Immune Dysregulations
NCT04993573,"Acceptability, Representations and Experiences of the COVID-19 Pandemic",Aging
NCT04476927,Detection of COVID-19 Subjects Using DiaNose Exhalation Test,COVID-19
NCT05787327,RCT for Yinqiaosan-Maxingganshitang in the Treatment of COVID-19,COVID-19
NCT05925127,Phase 2/3 Heterologous Boosting Study With Different Dose Levels of Monovalent SARS-CoV-2 rS Vaccines,COVID-19
NCT04959773,Muscle Weakness in COVID-19 Patients,SARS-CoV Infection|Covid19|Muscle Weakness|Exercise Intolerance
NCT05682573,Study on Immune Status of Patients With COVID-19,COVID-19|Immunity|Life Quality
NCT04626076,International Registry of Healthcare Workers Exposed to COVID-19 Patients (UNITY Global),SARS-CoV Infection|Covid19
NCT04355676,Evaluation of Activity and Safety of Two Regimens of Low Dose Oral Selinexor in Participants With Moderate or Severe COVID-19,Coronavirus Infection
NCT04348227,How COVID-19 Virus Outbreak Affects Antimicrobial Resistance in a Low-middle-income Country's ICU?,Ventilator Associated Pneumonia
NCT05492227,SARS-CoV-2 Nucleic Acid Detection Kit Clinical Performance Study,COVID-19|Coronavirus Disease 2019|COVID-19 Pandemic|Diagnoses Disease
NCT04477473,Perceived Impact of the COVID-19 Pandemic on Medical Management and Symptoms in a High Risk Group,COVID-19 Pandemic|Vulnerable Subjects|Long-term Non-invasive Ventilation
NCT04649827,A Clinical Trial for Hospitalized Patients With COVID-19 in Ceará: ResCOVID Study,COVID-19
NCT06282627,The COVID HOME Study: Prospective Cohort Study of Non-hospitalised COVID-19 Patients,COVID-19|Post-COVID-19 Syndrome
NCT04653727,Effects of Integrative Medicine on Infectious Respiratory Diseases Including COVID-19,Covid19|Influenza A|Respiratory Disease
NCT04898127,Antigen Rapid Test Screening to Prevent SARS-CoV-2 Transmission (COVID-19) at Mass Gathering Events.,Covid19
NCT05778357,The Effect of the Covid 19 Pandemic Process on the Neuromotor Developments of 6-24 Month-old Babies,"Development, Infant|Development Delay"
NCT05293548,"A Clinical Trial on Sequential Immunization of Recombinant COVID-19 Vaccine (CHO Cell, NVSI-06-09) and Inactivated COVID-19 Vaccine (Vero Cell)",COVID-19
NCT05269030,Ivermectin Nasal Drops in Post COVID-19 Parosmia,Parosmia
NCT04928430,Efficacy and Safety of XAV-19 for the Treatment of Moderate-to-severe COVID-19,COVID-19
NCT05373030,Sequential Immunization With Recombinant Adenovirus Type-5-vectored COVID-19 Vaccine in Health Adults Based on 3 Doses Inactivated COVID-19 Vaccine,Immunogenicity and Safety of a Recombinant Adenovirus Type-5-vectored COVID-19 Vaccine Using for Sequential Immunization
NCT04661930,Fenofibrate for Patients With COVID-19 Requiring Hospitalization,Corona Virus Disease (COVID-19)|Respiratory Distress Syndrome|SARS-CoV-2 Infection
NCT04795557,Efficacy of Adaptogens in Patients With Long COVID-19,Covid19
NCT04573348,T Cells Response to SARS COV 2 Peptides,Covid19|Corona Virus Infection
NCT04522830,A Study in Adults to Test the Effects of Low Dose Thimerosal on Symptoms of COVID-19,SARS-CoV-2 Infection
NCT04560530,The Role of CT Chest Scan in the Pre-anesthetic Assessment of Suspected or Confirmed COVID -19 Patients,Covid19
NCT04990557,CRISPR/Cas9-modified Human T Cell ( PD-1and ACE2 Knockout Engineered T Cells ) for Inducing Long-term Immunity in COVID-19 Patients,COVID-19 Respiratory Infection
NCT04361448,Performance of 3 Sampling Methods for the Detection of SARS-CoV-2 (COVID-19) With Real-time Reverse Transcriptase PCR,Covid-19|SARS-CoV-2|Diagnosis|Polymerase Chain Reaction
NCT04453748,"The Assessment of the Prevalence, Clinical Course and Treatment of COVID-19 Complications",COVID-19|Coronavirus Infection|Sars-CoV2|Complications
NCT05102630,Ventilator Strategies in ICU Patients With COVID-19 - a National-wide Retrospective Observational Study.,ARDS Due to COVID-19
NCT04383730,Inhaled Sedation in COVID-19-related Acute Respiratory Distress Syndrome (ISCA): an International Research Data Study in the Recent Context of Widespread Disease Resulting From the 2019 (SARS-CoV2) Coronavirus Pandemics (COVID-19),Critically Illness|Sedation|Invasive Mechanical Ventilation|Acute Respiratory Distress Syndrome
NCT06567457,Immunogenicity and Safety Study of Monovalent Omicron XBB.1.5 Vaccine as a Booster in Adults,COVID-19
NCT05133648,Anesthesia Technique in COVID-19 Positive Hip Fracture Patients,Hip Fractures|COVID-19|General Anesthesia|Spinal Anesthesia
NCT04375748,Hospital Registry of Acute Myocarditis: Evolution of the Proportion of Positive SARS-COV-2 (COVID19) Cases,Acute Myocarditis
NCT04365530,Become of Patients Infected or Suspected of Being Infected by Covid-19 and Supported by the GHPSJ and the Establishments of the Paris Plaisance Hospital City,COVID
NCT04452630,Cardiovascular Consequences After COVID-19,Cardiovascular Consequences After an Episode of COVID 19
NCT04949230,A Retrospective Study of COVID-19 Treatments,Covid19|COVID-19 Pneumonia|COVID-19 Respiratory Infection|COVID-19 Acute Bronchitis|COVID-19 Acute Respiratory Distress Syndrome|COVID-19 Lower Respiratory Infection|SARS-CoV2 Infection|SARS-CoV-2 Acute Respiratory Disease
NCT04434248,An Adaptive Study of Favipiravir Compared to Standard of Care in Hospitalized Patients With COVID-19,COVID-19
NCT04652648,Rapid Development and Implementation of a Remote ECG-monitored Prospective Randomized Clinical Trial During a Pandemic: Hydroxychloroquine Prophylaxis in COVID-19 Household Contacts,Covid19|Hydroxychloroquine|Coronavirus Infection|Transmission|Prophylaxis
NCT04542330,Using BCG to Protect Senior Citizens During the COVID-19 Pandemic,Covid19|Non-specific Effects of Vaccines|Heterologous Immunity|Morbidity|Immunosenescence|Vaccine Preventable Disease
NCT04785157,Neurotropism and Neuroinflammation in COVID-19 Patients With Delirium.,Covid19|Delirium|Post-traumatic Stress Disorder
NCT05911048,A Clinical Trial of Recombinant COVID-19 Bivalent (XBB+Prototype) Protein Vaccine (Sf9 Cell) in Booster Vaccination,COVID-19
NCT06042530,Cognitive Impairment and Fatigue After Mild to Moderate COVID-19,"Post COVID-19 Condition|Cognitive Impairment|Fatigue, Mental"
NCT04697030,Burnout Among Adolescent Population During Covid-19 Lockdown in Pakistan,"Burnout, Psychological|Covid-19 Pandemic"
NCT04408248,AKI Biomarkers in Coronavirus(COVID)-19,COVID|Acute Respiratory Failure|Acute Kidney Injury
NCT04325048,Clinical Evaluation of Cordio Application in Adult COVID-19 Virus Positive Patients,Coronavirus Infection
NCT04473248,Spartan COVID-19 System: Evaluation of Clinical Sample Collection,Covid19
NCT04809948,Effects of COVID 19 Vaccine on Egyptian Population,COVID 19 Vaccine
NCT05505448,"A Trial to Learn if a COVID-19 Therapeutic is Safe and Well Tolerated, and How it Works in the Body of Healthy Adult Participants",Healthy
NCT04760730,Safety and Immunogenicity Study in Adults of AZD1222 and rAd26-S Administered as Heterologous Prime Boost Regimen for the Prevention of Coronavirus Disease 2019 (COVID-19),COVID-19
NCT04466657,Antioxidant Therapy for COVID-19 Study,Covid-19
NCT04347382,Honey & Nigella Sativa Trial Against COVID-19,Coronavirus Infection|Sars-CoV2
NCT06597682,Evaluating Immunomodulatory Interventions in Post-Acute Sequelae of SARS-CoV-2 InfEction,Post-acute Sequelae of SARS-COV-2 Infection
NCT04644120,Study to Assess Adverse Events and How Intravenous (IV) ABBV-47D11 and IV ABBV-2B04 Given Alone and in Combination Moves Through the Body of Adult Participants With Coronavirus Disease 2019 (COVID-19),CoronaVirus Disease-2019 (COVID-19)
NCT04327531,"Evaluation of Covid 19 Knowledge Anxiety and Expectation Levels of Turkish Physicians, Survey Study",COVID-19|Physician-Patient Relations
NCT04507282,Eosinophil and Anticoagulation in COVID-19 Patients,COVID-19
NCT04709120,Analysis of Health Status of Сomorbid Adult COVID-19 Patients Hospitalised in Second Wave of SARS-CoV-2 Infection,"Covid19|Comorbidities and Coexisting Conditions|Risk Factor, Cardiovascular|Death|Diabetes|COPD|Atrial Fibrillation|DVT|CKD"
NCT04377776,"Observational Study Concerning COVID-19 Infection in Transplanted Kidney, Pancreas or Pancreatic Islet Patients",Kidney Transplant|Pancreas Tranplant|Pancreatic Islet Transplantation
NCT04639427,Benefits of Using a Transparent Visor to Replace the Face Mask in Speech Therapy Rehabilitation of Oral-Linguo-Facial Praxies in the Context of COVID-19: a Series of Cases,Oral-Linguo-Facial Praxies|Covid19
NCT04393727,Transfusion of Convalescent Plasma for the Early Treatment of Patients With COVID-19,COVID|SARS-CoV 2
NCT04894227,Lot-to-lot Consistency of an Inactivated SARS-CoV-2 Vaccine for Prevention of COVID-19 in Healthy Adults,COVID-19
NCT04491227,Global Assessment of Acute and Chronic Kidney Disease Incidence and Outcomes in Patients With COVID-19 Infection,"Covid19|AKI|CKD|ESRD|Transplant;Failure,Kidney"
NCT05167227,Does a Technology Enabled Multi-disciplinary Team-based Care Model for the Management of Long COVID and Other Fatiguing Illnesses Improve Clinical Care of Patients and Represent a Sustainable Approach Within a Federally Qualified Health Center?,SARS-CoV-2 Acute Respiratory Disease|Myalgic Encephalomyelitis|Chronic Fatigue Syndrome|Post-acute Sequelae of SARS-COV-2 Infection|Post COVID-19 Condition
NCT04595773,"COVID-19, Chronic Adaptation and Response to Exercise (COVID-CARE)",COVID-19
NCT05441631,Can Intensive Insulin Therapy Improve Outcomes of COVID-19 Patients,COVID-19|Dysglycemia
NCT04245631,"Development of a Simple, Fast and Portable Recombinase Aided Amplification Assay for 2019-nCoV",New Coronavirus
NCT04568031,Study of AZD1222 for the Prevention of COVID-19 in Japan,COVID-19
NCT05077982,The Long Term Effects of COVID on Pulmonary Function,Covid19|COVID-19 Pneumonia|Critical Illness|Quality of Life
NCT04322682,Colchicine Coronavirus SARS-CoV2 Trial (COLCORONA),Corona Virus Infection
NCT04395482,Lung CT Scan Analysis of SARS-CoV2 Induced Lung Injury,covid19
NCT04802382,Clinical Study Designed to Evaluate the Effect of CimetrA in Patients Diagnosed With COVID-19,Corona Virus Infection|Covid19|SARS-CoV Infection
NCT04649931,Differences in Exhaled Breath by Using Ion Mobility Spectrometry (IMS) in Subjects Tested for SARS-CoV-2 Infection (COVID-19 Disease),SARS (Severe Acute Respiratory Syndrome)|Covid19
NCT04434131,Treatment With Investigational Convalescent Plasma and Measure Antibody Levels in Patients Hospitalized With COVID-19,COVID-19
NCT06257420,"Low Dose Rapamycin in ME/CFS, Long-COVID, and Other Infection Associated Chronic Conditions",Myalgic Encephalomyelitis|Long-COVID
NCT05150782,The Effect of Micellized Food Supplements on Health-related Quality of Life in Patients With Post-acute COVID-19 Syndrome.,Post-acute COVID-19 Syndrome
NCT04992182,"Reactogenicity, Safety, and Immunogenicity of Covid-19 Vaccine Booster",Covid19
NCT04747782,COVID-19 Longitudinal Biomarkers in Lung Injury,Covid19|Respiratory Disease|Critical Illness
NCT04352582,COVID-19 and Vaccination Attitudes,COVID-19
NCT04479982,Microbial Infection and AMR in Hospitalized Patients With Covid 19,Covid19
NCT04830020,Use of Inhaled High-molecular Weight Hyaluronan in Patients With Severe COVID19: Feasibility and Outcomes,Covid19
NCT04707820,Antiviral T Lymphocyte Immunity During Acute COVID-19 Infection,Corona Virus Infection
NCT06379620,Pilot Open Label Use of the Hi-OXSR for the Treatment of Post COVID-19 Cognitive Dysfunction,Post COVID-19 Condition
NCT06508320,A Clinical Study to Investigate the Safety and Immunogenicity in Relation to Product Attributes of mRNA-1083 (Severe Acute Respiratory Syndrome Coronavirus 2 [SARS-CoV-2] and Influenza Vaccine),Influenza|SARS-CoV-2
NCT04505631,Follow-up of Respiratory Sequelae of Hospitalized Patients With COVID-19,Covid19|Dyspnea
NCT04636320,Prevalence of Myocardial Scars on CMR After COVID-19 Infection,COVID-19|Virus Disease
NCT05556720,Bringing Optimised COVID-19 Vaccine Schedules To ImmunoCompromised Populations (BOOST-IC): an Adaptive Randomised Controlled Clinical Trial,"HIV|Organ Transplantation|Lymphoma, Non-Hodgkin|Chronic Lymphocytic Leukemia|Multiple Myeloma|COVID-19 Vaccines"
NCT06170320,STREngthening COronavirus Disease 2019 (COVID-19) Surveillance in Africa,COVID-19|SARS CoV 2 Infection|COVID-19 Pandemic
NCT05855382,"Prevalence of Persistent COVID-19 in Punta Arenas, Magallanes and Chilean Antarctic Region",COVID-19
NCT04808882,ANTIcoagulation in Severe COVID-19 Patients,Severe COVID-19 Pneumonia
NCT05851820,Prevalence and Impact of Diabetes Mellitus in Hospitalized COVID-19 Patients in a Tunisian Center,Prevalence|Diabetes Mellitus|Impaction|COVID-19
NCT05633420,Pilot Clinical Trial to Explore Efficacy and Safety of Pyramax in Mild to Moderate COVID-19 Patients,COVID-19
NCT05764174,Digital Applications to Monitor Novel Coronavirus Disease and Response in Colombia - Syndromic and Vaccination Surveillance,Vaccination Refusal|COVID-19
NCT05185674,"Sociodemographic, Clinical, Quality of Life and Health Care Conditions in COVID-19 Survivors.",Post-acute COVID-19 Syndrome|Long-COVID|COVID-19|Long COVID|Post-acute Sequelae of SARS-CoV-2 Infection
NCT05873374,"Evaluation of Safety, Tolerability, Reactogenicity, Immunogenicity of Baiya SARS-CoV-2 Vax 2 as a Booster for COVID-19",COVID-19 Vaccine|COVID-19
NCT05112874,ImmuneSense™ COVID-19 Cross-Reactivity Study,Coronavirus Disease|SARS-CoV-2 Infection
NCT05534074,University Hospital of Ioannina COVID-19 (Coronavirus Disease 2019) Registry,COVID-19 (Coronavirus Disease 2019)|COVID-19 Pandemic|COVID-19 Pneumonia|COVID-19 Respiratory Infection|COVID-19 Acute Respiratory Distress Syndrome|COVID-19-Associated Thromboembolism|COVID-19-Associated Pneumonia|COVID 19 Associated Coagulopathy
NCT04481620,"Development and Validation of a Prediction Model for the Transition From Mild to Moderate Form of COVID-19, Using Data From Chest CT",COVID-19
NCT04756674,The Impact of Covid-19 on Skeletal Muscle,Covid19|Muscle Loss|Mitochondrial Alteration
NCT04487574,A Study to Assess the Efficacy and Safety of XC221 in Patients With COVID-19,SARS-CoV-2 Infection
NCT04383574,Safety and Immunogenicity Study of Inactivated Vaccine for Prevention of SARS-CoV-2 Infection(COVID-19),COVID-19
NCT04519320,Medium and Long Term Follow-up of COVID-19 Infected Patients: Research and Characterization of Pulmonary Sequelae,Sars-CoV2
NCT05279365,PROSPECTIVE OPEN LABEL CLINICAL TRIAL TO ADMINISTER A BOOSTER DOSE OF PFIZER/BIONTECH OR MODERNA COVID-19 VACCINE IN HIGH-RISK INDIVIDUALS,SARS CoV 2 Infection|COVID-19
NCT05119465,COVID-19 Clinical Status Associated With Outcome Severity: An Unsupervised Machine Learning Approach,COVID-19
NCT05630365,Clinical Evaluation of the Panbio™ COVID-19/Flu A&B Rapid Panel Professional Use Product Using Mid-Turbinate Nasal Swabs,COVID-19|Influenza A|Influenza Type B
NCT04430374,Registry for a Cardiovascular Patient Who COVID-19 Infection in Qatar and Gulf,Cardiovascular Diseases
NCT05089565,Immune Response to SARS-CoV-2/COVID-19 Vaccination in Sarcoidosis,Sarcoidosis|SARS-CoV2 Infection|Vaccine Response Impaired
NCT05124574,Transplacental Transmission of COVID-19,SARS-COV-2 Infection
NCT05489874,A Real-world Retrospective Study of Disease Outcomes in Non-severe COVID-19 Patient,COVID-19 Patient
NCT05083065,Evaluation of Menstrual Irregularities and Abnormal Uterine Bleeding After Covid-19 Vaccine,COVID-19|Vaccine|Menstrual Irregularity|Menopausal Bleeding
NCT04574765,A Research Platform to Screen Healthcare Workers- Coordinated Approach to Pandemic Trials of COVID-19,Healthcare Worker|Covid19
NCT04321174,COVID-19 Ring-based Prevention Trial With Lopinavir/Ritonavir,Coronavirus Infections|Post-exposure Prophylaxis
NCT04374474,Anosmia Rehabilitation in Patients Post Coronavirus Disease (COVID 19),Olfactory Disorder
NCT05079165,Covid Vaccination in Liver Transplantation,COVID-19
NCT05265065,Evaluation of Full Versus Fractional Dose of COVID-19 Vaccine Given as a Booster for the Prevention of COVID-19 in Adults in Mongolia.,COVID-19
NCT04773665,"Safety, Tolerability, and Immunogenicity of the COVID-19 Vaccine Candidates VBI-2902a and VBI-2905a",Covid19
NCT05447065,Impact of Vitamin D Supplementation on COVID-19 Vaccine Response and IgG Antibodies in Deficient Women.,COVID-19 Pandemic|D Vitamin Deficiency|Antibody Hypersensitivity
NCT03554265,Brain and Gut Plasticity in Mild TBI or Post-acute COVID Syndrome Following Growth Hormone Therapy,Traumatic Brain Injury|Fatigue|Cognitive Impairment|COVID-19
NCT06401720,Age Related Differences in Respiratory Immune Responses in Influenza Virus Infection,Influenza A Infection|Influenza B Virus Infection|SARS CoV 2 Infection|RSV Infection
NCT05970874,Evaluation of Hand Grip Strength in Pregnant COVID-19 Patients,COVID-19|Pregnancy Related
NCT04409574,COVID 19 Viral Clearance Among the Infected Healthcare Workers In Assiut University Hospitals,"Infection, Coronavirus"
NCT05313074,SARS-CoV-2 Specific Immune Response After COVID-19 Vaccination in Cancer Patients,COVID-19|Cancer
NCT04930874,Cerebral Autoregulation and COVID-19,COVID-19 Acute Respiratory Distress Syndrome|COVID-19 Pneumonia
NCT04880174,SARS-COV-2 Seroprevalence and Seroconversion Among Employees of the Universitair Ziekenhuis Brussel Following mRNA COVID-19 Vaccination,SARS-CoV Infection
NCT04729374,COVID-19 Vaccine Induced Adaptive Immune Responses,SARS-CoV-2|Vaccine|COVID-19
NCT04894474,A Study to Test Whether BI 767551 Can Prevent COVID-19 in People Who Have Been Exposed to SARS-CoV-2,COVID-19
NCT05846074,Diagnostic Performance of Dogs for the Olfactory Detection of COVID-19,COVID-19
NCT05922865,The Effect of Smart Sensor Combined With APP for Individualized Precise Exercise Training in Long Covid-19,Coronavirus Disease|COVID-19|Long Covid-19|Telerehabilitation
NCT04889365,COVID-19 Antigen Rapid Test Kit,SARS-CoV2 Infection
NCT05112848,A Study to Evaluate Safety and Immunogenicity of a COVID-19 Vaccine in People Living With HIV at Risk for SARS-CoV-2 (COVID-19),SARS-CoV-2 Infection
NCT04470648,COVID-19 Infection at Samusocial in Paris: Descriptive and Serological Survey,SARS-COV2 Infection
NCT05264948,Seasonal Factors and COVID 19,COVID-19 Pandemic
NCT04530448,Coronavirus Induced Acute Kidney Injury: Prevention Using Urine Alkalinization,COVID|Coronavirus|Coronavirus Infection|AKI|Acute Kidney Injury
NCT05255848,Nebulised Heparin in Patients With COVID-19 Pneumonia,COVID-19 Pneumonia
NCT05116748,COVID19 Vaccine in SOT Adult Recipients,COVID-19|Vaccine Adverse Reaction|Vaccine Response Impaired|Vaccine Reaction|Lung Transplant; Complications|Liver Transplant; Complications|Vaccination
NCT04416048,Effect of Anticoagulation Therapy on Clinical Outcomes in COVID-19,COVID-19
NCT05398848,"Efficacy, Safety and Immunogenicity Study of the Recombinant Two-component COVID-19 Vaccine (CHO Cell)(Recov)",COVID-19
NCT05534048,Booster Study of PTX-COVID19-B in Adults Aged 18 Years and Older,SARS-CoV-2 Infection
NCT04383548,Clinical Study for Efficacy of Anti-Corona VS2 Immunoglobulins Prepared From COVID19 Convalescent Plasma Prepared by VIPS Mini-Pool IVIG Medical Devices in Prevention of SARS-CoV-2 Infection in High Risk Groups as Well as Treatment of Early Cases of COVID19 Patients,COVID19
NCT05467930,CU-COMMITS: COVID-19 Care in Black and Latino Communities and Households. Clinical and Molecular Outcomes of SARS-CoV-2,COVID-19|SARS CoV 2 Infection
NCT04485130,DISulfiram for COvid-19 (DISCO) Trial,Covid19
NCT04896957,Perceptions and Representations of Vaccination Against COVID-19,COVID-19 Acute Respiratory Distress Syndrome
NCT05618548,Vaccination Against COVID-19 in Pregnant and Lactating Women in Belgium,Covid19
NCT04336748,HCQ for Primary Prophylaxis Against COVID19 in Health-care Workers,Sars-CoV2|Infection Viral|Healthcare Worker|Prophylaxis
NCT04497948,Acalabrutinib Study With Best Supportive Care in Participants Hospitalized With COVID-19,COVID-19
NCT04864548,COV-CHIM01: SARS-CoV-2 (COVID-19) Dose Finding Infection Study,Coronavirus
NCT04334148,Healthcare Worker Exposure Response and Outcomes of Hydroxychloroquine,COVID-19
NCT04555148,COVIDIG (COVID-19 Hyper-ImmunoGlobulin),Covid19
NCT04643548,WHO Covid 19 - Neurological Abnormalities in SARS-CoV-2 ICU Patients,SARS-CoV-2 Infection|Intensive Care Unit Patient|Neurological Abnormality|Delirium|Encephalopathy
NCT05745948,COVID-19 ANtibody Responses in Cystic Fibrosis: CAR-CF,COVID-19|Cystic Fibrosis
NCT04842448,Safety and Efficacy of Hyperbaric Oxygen Therapy for Long COVID Syndrome,"COVID-19|Post COVID-19 Condition|Post COVID-19 Condition, Unspecified|Post COVID Condition|Post-COVID Syndrome|Post-Acute COVID-19 Syndrome"
NCT04682548,Estimating Prevalence of COVID-19 Infection and SARS-CoV-2 Antibodies in MS Patients,Multiple Sclerosis|Covid19
NCT06876948,"NENCA Study on Neurological Complications of Long COVID-19 in Children and Adolescents; Neurophysiological, Electroencephalographic and Neuroradiological Investigation",Long Covid-19
NCT06074848,tDCS in the Management of Post-COVID Disorders,Long COVID
NCT04434157,Association of the Neutrophil/Lymphocyte Ratio With Clinical Complications and Mortality in COVID-19 Patients,Covid-19
NCT04988048,Collaborative Study to Evaluate Heterologous Vaccination Against Covid-19 in Argentina,COVID-19 VACCINE|Covid19
NCT06879548,Bedside Assessment of Immune Function in Patients With Covid-19,Covid19
NCT04568148,COVID-19 Biorepository,Covid-19|SARS-CoV 2|Coronavirus|COVID
NCT05476848,Relationship Between Oral Findings and Salivary Factors in Sars-Cov-2 Patients,"Decay, Dental|Missing Teeth|COVID-19|Cytokine Storm"
NCT04868448,COVID-19 Vaccine Effectiveness Among Health Workers in Georgia,Covid19
NCT05504057,"Antihistamines, Amantadine and Evolution of the SARS-CoV-2 Infection",COVID-19
NCT04750720,Study of the Kinetics of COVID-19 Antibodies for 24 Months in Patients With Confirmed SARS-CoV-2 Infection,Covid19|SARS-CoV-2
NCT04377620,Assessment of Efficacy and Safety of Ruxolitinib in Participants With COVID-19-Associated ARDS Who Require Mechanical Ventilation (RUXCOVID-DEVENT),COVID-19
NCT04490174,Serological Surveillance for COVID-19 in Central North Carolina,COVID-19
NCT04590274,Safety and Efficacy of Hydroxychloroquine for the Treatment & Prevention of Coronavirus Disease 2019 (COVID-19) Caused by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2),Covid19|SARS (Severe Acute Respiratory Syndrome)
NCT06429020,Sonography for COVID-19 Vaccines Related Reactive Lymphadenopathy,Reactive Axillary Lymphadenopathy for SARS-CoV-2 Vaccines in the Asian Taiwanese Population
NCT05567874,Nosocomial COVID-19 Infections in Patients Hospitalized at the Metz-Thionville Regional Hospital in 2021,SARS CoV 2 Infection
NCT05085574,Leidos-Enabled Adaptive Protocol for Clinical Trials (LEAP-CT) in Hospitalized Patients With COVID-19 (Addendum 1),2019 Novel Coronavirus Disease|2019 Novel Coronavirus Infection|2019-nCoV Disease|2019-nCoV Infection|COVID-19 Pandemic|COVID-19 Virus Disease|COVID-19 Virus Infection|Covid19|Coronavirus Disease 2019|SARS-CoV-2 Infection|SARS-CoV-2 Acute Respiratory Disease|COVID-19
NCT05409274,Understanding COVID-19 Infections in Pregnant Women and Their Babies in 5 African Nations (periCOVID Africa),Covid19|Pregnancy Related
NCT04824365,Sodium Pyruvate Nasal Spray Treatment of COVID-19 Infection,COVID-19
